,code,name,grade_band,enrollment_SY1718,enrollment_SY1819,star_score_SY1718,star_score_SY1819,star_rating_SY1718,star_rating_SY1819,capacity_SY1718,capacity_SY1819,latitude,longitude,cluster,ward,count_any_SY1819,count_0_SY1819,pct_0_SY1819,count_1-5_SY1819,pct_1-5_SY1819,count_6-10_SY1819,pct_6-10_SY1819,count_11-20_SY1819,pct_11-20_SY1819,count_20+_SY1819,pct_20+_SY1819,count_any_SY1718,count_0_SY1718,pct_0_SY1718,count_1-5_SY1718,pct_1-5_SY1718,count_6-10_SY1718,pct_6-10__SY1718,count_11-20_SY1718,pct_11-20_SY1718,count_20+_SY1718,pct_20+_SY1718,budgeted_amount_FY16,budgeted_enrollment_FY16,budgeted_amount_FY17,budgeted_enrollment_FY17,pct_meet_exceed_math_SY1718,pct_meet_exceed_ela_SY1718,pct_meet_exceed_math_SY1819,pct_meet_exceed_ela_SY1819
31,272.0,Key Elementary School,Elementary,417.0,399.0,76.61,76.58,4.0,4.0,432.0,532.0,38.92680184,-77.10052732,13.0,3.0,403.0,-4.0,-0.010025063,203.0,0.50877193,24.0,0.060150376,5.0,0.012531328000000001,171.0,0.428571429,296.0,121.0,0.290167866,259.0,0.621103118,32.0,0.076738609,5.0,0.011990408000000001,0.0,0.0,7272976.525,3950.0,3793751.0,3247182.0,0.7559999999999999,0.737,0.8009999999999999,0.8079999999999999
32,273.0,Mann Elementary School,Elementary,400.0,397.0,87.12,85.65,5.0,5.0,428.0,428.0,38.93429231,-77.08782619,13.0,3.0,262.0,135.0,0.340050378,235.0,0.5919395470000001,17.0,0.042821159000000004,5.0,0.012594458000000001,5.0,0.012594458000000001,214.0,186.0,0.465,204.0,0.51,5.0,0.0125,5.0,0.0125,0.0,0.0,6945972.002,3350.0,3721473.0,3138698.0,0.752,0.752,0.7340000000000001,0.805
33,274.0,Maury Elementary School,Elementary,407.0,407.0,94.38,83.15,5.0,5.0,388.0,388.0,38.89243712,-76.97856502,25.0,6.0,234.0,173.0,0.425061425,196.0,0.481572482,21.0,0.051597052000000004,12.0,0.029484029,5.0,0.012285012,257.0,150.0,0.368550369,204.0,0.501228501,48.0,0.117936118,5.0,0.012285012,0.0,0.0,7265554.311000001,3780.0,3846236.0,3337536.0,0.6859999999999999,0.754,0.769,0.7
34,280.0,Miner Elementary School,Elementary,345.0,361.0,45.31,24.53,3.0,2.0,550.0,550.0,38.89737602,-76.98290432,25.0,6.0,263.0,98.0,0.27146814399999997,126.0,0.349030471,64.0,0.177285319,48.0,0.132963989,25.0,0.069252078,236.0,109.0,0.31594202899999996,178.0,0.515942029,42.0,0.12173913,11.0,0.031884058,5.0,0.014492753999999998,10202898.82,4050.0,5091971.0,3519622.0,0.158,0.149,0.171,0.135
35,284.0,Marie Reed Elementary School,Elementary,427.0,437.0,83.7,67.93,5.0,4.0,486.0,486.0,38.91911214,-77.04082224,1.0,1.0,283.0,154.0,0.352402746,196.0,0.448512586,58.0,0.132723112,24.0,0.054919907999999996,5.0,0.011441648,279.0,148.0,0.346604215,182.0,0.426229508,62.0,0.14519906300000002,30.0,0.070257611,5.0,0.011709602,10435364.13,3940.0,5364019.0,3545238.0,0.523,0.469,0.545,0.423
36,285.0,Moten Elementary School,Elementary,401.0,323.0,13.63,19.87,1.0,1.0,480.0,480.0,38.856656,-76.98294368,37.0,8.0,309.0,14.0,0.043343652999999996,84.0,0.26006192,80.0,0.24767801899999997,94.0,0.291021672,51.0,0.15789473699999998,351.0,50.0,0.124688279,57.0,0.14214463800000002,90.0,0.224438903,107.0,0.26683291800000003,97.0,0.241895262,9921336.535,4270.0,4914177.0,3430796.0,0.034,0.07400000000000001,0.129,0.114
37,287.0,Murch Elementary School,Elementary,573.0,601.0,79.07,92.3,4.0,5.0,730.0,730.0,38.95293352,-77.07007921,12.0,3.0,396.0,205.0,0.34109817,348.0,0.579034942,38.0,0.063227953,5.0,0.008319468,5.0,0.008319468,427.0,146.0,0.254799302,364.0,0.635253054,53.0,0.09249563699999999,10.0,0.017452007,0.0,0.0,11984592.0,6340.0,5692681.0,4513199.0,0.733,0.7440000000000001,0.616,0.705
38,288.0,Nalle Elementary School,Elementary,387.0,370.0,44.78,54.86,3.0,3.0,400.0,400.0,38.88595442,-76.93079651,33.0,7.0,280.0,90.0,0.243243243,184.0,0.497297297,55.0,0.148648649,30.0,0.081081081,11.0,0.02972973,304.0,83.0,0.21447028399999998,181.0,0.467700258,105.0,0.271317829,13.0,0.033591731,5.0,0.012919897,9386882.005,3890.0,4589598.0,3373621.0,0.106,0.271,0.124,0.22699999999999998
39,290.0,Noyes Elementary School,Elementary,195.0,224.0,25.08,29.81,2.0,2.0,379.0,379.0,38.92517798,-76.99184288,22.0,5.0,186.0,38.0,0.16964285699999998,132.0,0.589285714,38.0,0.16964285699999998,11.0,0.049107143,5.0,0.022321429,153.0,42.0,0.215384615,100.0,0.512820513,37.0,0.18974359,11.0,0.056410256,5.0,0.025641026,6842275.24,2140.0,3301360.0,1978631.0,0.212,0.152,0.26,0.179
40,291.0,Boone Elementary School (formerly Orr Elementary),Elementary,404.0,430.0,30.82,47.46,2.0,3.0,392.0,492.0,38.87179716,-76.97448402,34.0,8.0,324.0,106.0,0.246511628,137.0,0.318604651,94.0,0.218604651,69.0,0.160465116,24.0,0.055813953,314.0,90.0,0.222772277,142.0,0.351485149,92.0,0.227722772,52.0,0.128712871,28.0,0.069306931,9026511.971,3990.0,4941263.0,3649872.0,0.16,0.106,0.184,0.11800000000000001
